state,participation,composite,state_code,year
Alabama,1.0,18.9,AL,2019
Alaska,0.38,20.1,AK,2019
Arizona,0.73,19.0,AZ,2019
Arkansas,1.0,19.3,AR,2019
California,0.23,22.6,CA,2019
Colorado,0.27,23.8,CO,2019
Connecticut,0.22,25.5,CT,2019
Delaware,0.13,24.1,DE,2019
District of Columbia,0.32,23.5,DC,2019
Florida,0.54,20.1,FL,2019
Georgia,0.49,21.4,GA,2019
Hawaii,0.8,19.0,HI,2019
Idaho,0.31,22.5,ID,2019
Illinois,0.35,24.3,IL,2019
Indiana,0.29,22.5,IN,2019
Iowa,0.66,21.6,IA,2019
Kansas,0.72,21.2,KS,2019
Kentucky,1.0,19.8,KY,2019
Louisiana,1.0,18.8,LA,2019
Maine,0.06,24.3,ME,2019
Maryland,0.28,22.3,MD,2019
Massachusetts,0.21,25.5,MA,2019
Michigan,0.19,24.4,MI,2019
Minnesota,0.95,21.4,MN,2019
Mississippi,1.0,18.4,MS,2019
Missouri,0.82,20.8,MO,2019
Montana,1.0,19.8,MT,2019
Nebraska,1.0,20.0,NE,2019
Nevada,1.0,17.9,NV,2019
New Hampshire,0.14,25.0,NH,2019
New Jersey,0.25,24.2,NJ,2019
New Mexico,0.63,19.3,NM,2019
New York,0.22,24.5,NY,2019
North Carolina,1.0,19.0,NC,2019
North Dakota,0.96,19.9,ND,2019
Ohio,1.0,20.0,OH,2019
Oklahoma,1.0,18.9,OK,2019
Oregon,0.42,21.1,OR,2019
Pennsylvania,0.17,23.6,PA,2019
Rhode Island,0.12,24.7,RI,2019
South Carolina,0.78,18.8,SC,2019
South Dakota,0.75,21.6,SD,2019
Tennessee,1.0,19.4,TN,2019
Texas,0.39,20.5,TX,2019
Utah,1.0,20.3,UT,2019
Vermont,0.2,24.1,VT,2019
Virginia,0.21,24.0,VA,2019
Washington,0.24,22.1,WA,2019
West Virginia,0.49,20.8,WV,2019
Wisconsin,1.0,20.3,WI,2019
Wyoming,1.0,19.8,WY,2019
National,0.52,20.7,NA,2019
