state,participation,english,math,reading,science,composite,state_code,year
National,0.6,20.3,20.7,21.4,21.0,21.0,NA,2017
Alabama,1.0,18.9,18.4,19.7,19.4,19.2,AL,2017
Alaska,0.65,18.7,19.8,20.4,19.9,19.8,AK,2017
Arizona,0.62,18.6,19.8,20.1,19.8,19.7,AZ,2017
Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,AR,2017
California,0.31,22.5,22.7,23.1,22.2,22.8,CA,2017
Colorado,1.0,20.1,20.3,21.2,20.9,20.8,CO,2017
Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,CT,2017
Delaware,0.18,24.1,23.4,24.8,23.6,24.1,DE,2017
District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,DC,2017
Florida,0.73,19.0,19.4,21.0,19.4,19.8,FL,2017
Georgia,0.55,21.0,20.9,22.0,21.3,21.4,GA,2017
Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,HI,2017
Idaho,0.38,21.9,21.8,23.0,22.1,22.3,ID,2017
Illinois,0.93,21.0,21.2,21.6,21.3,21.4,IL,2017
Indiana,0.35,22.0,22.4,23.2,22.3,22.6,IN,2017
Iowa,0.67,21.2,21.3,22.6,22.1,21.9,IA,2017
Kansas,0.73,21.1,21.3,22.3,21.7,21.7,KS,2017
Kentucky,1.0,19.6,19.4,20.5,20.1,20.0,KY,2017
Louisiana,1.0,19.4,18.8,19.8,19.6,19.5,LA,2017
Maine,0.08,24.2,24.0,24.8,23.7,24.3,ME,2017
Maryland,0.28,23.3,23.1,24.2,2.3,23.6,MD,2017
Massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,MA,2017
Michigan,0.29,24.1,23.7,24.5,23.8,24.1,MI,2017
Minnesota,1.0,20.4,21.5,21.8,21.6,21.5,MN,2017
Mississippi,1.0,18.2,18.1,18.8,18.8,18.6,MS,2017
Missouri,1.0,19.8,19.9,20.8,20.5,20.4,MO,2017
Montana,1.0,19.0,20.2,21.0,20.5,20.3,MT,2017
